RA,DEC,u,g,r,i,z,redshift,Filename
127.955145317453,15.1681014171491,19.99102,18.06941,17.06712,16.66254,16.30571,0.1150694,data/sdss\SDSS_galaxy88.jpg
142.174529607842,51.7688953184168,19.00529,17.01717,16.06933,15.62641,15.2554,0.08746861,data/sdss\SDSS_galaxy89.jpg
248.851064762698,41.7488700885709,18.2642,16.30449,15.44964,15.0621,14.74011,0.06146256,data/sdss\SDSS_galaxy90.jpg
322.099907836779,0.100942018876442,20.99915,19.01317,17.77015,17.24339,16.8587,0.2147231,data/sdss\SDSS_galaxy91.jpg
190.140612835578,7.33343246733797,20.03899,18.5052,17.6338,17.20047,16.90068,0.137232,data/sdss\SDSS_galaxy92.jpg
185.644654008804,1.58730880370634,19.03117,17.79663,17.20102,16.86221,16.6079,0.07879417,data/sdss\SDSS_galaxy93.jpg
149.824354978011,-0.112585040705707,20.61144,18.89003,17.71572,17.26951,16.90348,0.1671671,data/sdss\SDSS_galaxy94.jpg
160.63947177225,56.7563119869011,20.8781,18.57426,17.30097,16.81674,16.52577,0.1944146,data/sdss\SDSS_galaxy95.jpg
327.738982330272,-7.59571695720589,19.87569,17.9917,16.83199,16.39428,15.9607,0.1334918,data/sdss\SDSS_galaxy96.jpg
159.635077994679,6.06679562427136,20.36029,18.63141,17.69867,17.27047,16.91865,0.100023,data/sdss\SDSS_galaxy97.jpg
163.389791742815,7.79422776842773,20.51386,18.73227,17.50222,17.01393,16.63268,0.1676295,data/sdss\SDSS_galaxy98.jpg
53.0943058954095,-6.31097286384425,19.27137,17.65509,16.93249,16.56503,16.31777,0.03525174,data/sdss\SDSS_galaxy99.jpg
208.122665263408,57.0240704297031,19.38816,17.96743,17.23797,16.72552,16.4479,0.1085614,data/sdss\SDSS_galaxy100.jpg
145.523698033766,30.844543549413,20.36722,18.6552,17.73245,17.3494,17.03725,0.1120066,data/sdss\SDSS_galaxy101.jpg
250.594945197751,45.0178256464468,19.70269,17.68665,16.45391,15.9773,15.62479,0.1862399,data/sdss\SDSS_galaxy102.jpg
157.231151557402,40.7841655508488,18.60593,16.81698,16.04259,15.67504,15.38587,0.04301155,data/sdss\SDSS_galaxy103.jpg
143.488713965382,40.8684236898357,18.80224,16.95304,16.04361,15.60981,15.2875,0.07059103,data/sdss\SDSS_galaxy104.jpg
217.869490987479,48.9864488768741,20.59615,18.55573,17.28877,16.80887,16.41089,0.1764954,data/sdss\SDSS_galaxy105.jpg
238.15607997917,4.51848339037841,19.0962,17.219,16.28049,15.83645,15.51601,0.07602258,data/sdss\SDSS_galaxy106.jpg
131.093818721283,16.1781315289312,18.2774,16.45183,15.61299,15.1949,14.85688,0.06007891,data/sdss\SDSS_galaxy107.jpg
207.880394909182,26.1360867461342,20.26437,18.56391,17.56316,17.16408,16.83876,0.1345572,data/sdss\SDSS_galaxy108.jpg
241.24631235558,11.8044516875925,20.62721,18.42865,17.26188,16.80383,16.42646,0.1518105,data/sdss\SDSS_galaxy109.jpg
148.214281356794,34.1772672037556,20.10225,18.43274,17.45783,16.98749,16.64352,0.1314621,data/sdss\SDSS_galaxy110.jpg
195.716808772031,14.587768139188,20.30024,18.3342,17.26309,16.82783,16.46818,0.1420206,data/sdss\SDSS_galaxy111.jpg
141.753128353496,46.1964110050234,21.43213,18.62475,17.35613,16.8155,16.44126,0.1893431,data/sdss\SDSS_galaxy112.jpg
131.05220685369,41.1091720188221,20.76938,18.74222,17.63241,17.18635,16.84908,0.1546234,data/sdss\SDSS_galaxy113.jpg
161.333770828155,64.0499380728472,20.6132,18.75373,17.51462,17.00604,16.69358,0.200534,data/sdss\SDSS_galaxy114.jpg
167.172062306595,40.5317533044557,18.95256,17.13403,16.20404,15.76046,15.38151,0.07530748,data/sdss\SDSS_galaxy115.jpg
149.710456061537,56.65756391454,18.7716,17.63647,17.26083,17.0549,16.94275,0.02640445,data/sdss\SDSS_galaxy116.jpg
130.97189343483,40.040182340217,19.56391,17.82574,16.91274,16.53045,16.20115,0.09838975,data/sdss\SDSS_galaxy117.jpg
136.0318860964,0.525468287017071,19.90307,18.11514,17.04301,16.55271,16.15986,0.1226235,data/sdss\SDSS_galaxy118.jpg
48.2282942030367,-8.51903885099324,21.00805,18.687,17.4388,16.94306,16.55856,0.1693049,data/sdss\SDSS_galaxy119.jpg
178.608395813232,6.19600036263923,20.19247,18.36073,17.32958,16.87491,16.51709,0.1335995,data/sdss\SDSS_galaxy120.jpg
220.477419570936,12.725247779956,19.89832,18.00291,16.81677,16.33557,15.93373,0.1611219,data/sdss\SDSS_galaxy121.jpg
129.726909036687,57.1428827307063,18.46595,16.69925,15.85,15.4529,15.15973,0.04679807,data/sdss\SDSS_galaxy122.jpg
236.152510347136,54.209309179368,18.0936,16.29423,15.42885,14.9441,14.57955,0.06643955,data/sdss\SDSS_galaxy123.jpg
207.927187351315,27.916192861972,20.15603,18.04998,17.14879,16.73406,16.42059,0.0747173,data/sdss\SDSS_galaxy124.jpg
187.704160771538,34.3404927228667,20.98097,18.84004,17.43388,16.91347,16.55941,0.2261883,data/sdss\SDSS_galaxy125.jpg
170.501968521096,24.0794250112626,19.52112,18.11104,17.43382,17.11856,16.85362,0.02798955,data/sdss\SDSS_galaxy126.jpg
203.809888922958,56.7194456019182,19.31483,18.27246,17.71907,17.38837,17.19873,0.1171107,data/sdss\SDSS_galaxy127.jpg
19.9733564805882,14.6925418903547,20.54077,18.53897,17.44646,16.99674,16.61839,0.1276548,data/sdss\SDSS_galaxy128.jpg
195.920042897003,53.7232394369451,17.34442,15.61639,14.82746,14.43398,14.15957,0.02762208,data/sdss\SDSS_galaxy129.jpg
188.508498111839,6.49251722516467,18.82126,17.34746,16.58453,16.16133,15.88457,0.07883712,data/sdss\SDSS_galaxy130.jpg
147.20022166029,1.97066131320438,20.97431,18.94445,17.60576,17.06547,16.68648,0.1783194,data/sdss\SDSS_galaxy131.jpg
210.833327001721,0.0931827284281557,20.02889,18.37301,17.2231,16.69236,16.31458,0.1827653,data/sdss\SDSS_galaxy132.jpg
165.88716764269,54.874246276415,20.07814,18.29356,17.37616,16.93892,16.60248,0.07714584,data/sdss\SDSS_galaxy133.jpg
239.177018919868,29.8440618172083,19.84773,18.43543,17.72815,17.35717,17.09325,0.08414922,data/sdss\SDSS_galaxy134.jpg
151.461249676203,10.9699104204193,18.48487,16.73573,15.52723,15.04453,14.73507,0.1620206,data/sdss\SDSS_galaxy135.jpg
122.68521980364,13.2352436885034,20.57172,18.79026,17.71284,17.28411,16.92301,0.1382806,data/sdss\SDSS_galaxy136.jpg
137.858281098521,4.03574886435468,19.75835,17.78963,16.69502,16.2325,15.87178,0.1363495,data/sdss\SDSS_galaxy137.jpg
33.0531493619646,13.9753752390142,19.99791,18.07495,17.08144,16.5869,16.20001,0.155394,data/sdss\SDSS_galaxy138.jpg
174.835901475312,15.2410042260965,20.89798,18.78108,17.56898,17.08708,16.72027,0.1730854,data/sdss\SDSS_galaxy139.jpg
128.696892962096,42.7400679219845,19.57837,18.01367,17.02795,16.55714,16.22589,0.1218738,data/sdss\SDSS_galaxy140.jpg
190.36398281266,55.23764596607,18.55588,17.31155,16.83817,16.58973,16.50143,0.03198036,data/sdss\SDSS_galaxy141.jpg
195.611888954935,-2.008918440522,20.09358,18.34111,17.47336,17.08207,16.79198,0.08420666,data/sdss\SDSS_galaxy142.jpg
226.924671250642,51.3608310808458,21.4987,19.24116,17.70398,17.15907,16.83881,0.2669727,data/sdss\SDSS_galaxy143.jpg
169.20339186839,51.3236784365066,18.17873,17.09912,16.49183,16.0644,15.86821,0.1142013,data/sdss\SDSS_galaxy144.jpg
181.908087829448,13.2251496037215,19.16599,18.00788,17.49938,17.14123,17.00297,0.1160209,data/sdss\SDSS_galaxy145.jpg
209.202055102678,38.2918182786943,19.37362,17.64343,16.86789,16.47273,16.18128,0.05977119,data/sdss\SDSS_galaxy146.jpg
