RA,DEC,u,g,r,i,z,redshift,Filename
132.027930706629,33.909088238756,20.2961,18.80263,18.02027,17.61869,17.41629,0.1368183,data/sdss\SDSS_galaxy69.jpg
248.068453254277,37.2338820074618,17.01435,15.42107,14.60436,14.20979,13.9406,0.03118728,data/sdss\SDSS_galaxy70.jpg
204.062350186006,15.0399330560206,19.77006,18.25364,17.38541,16.95966,16.66154,0.1173641,data/sdss\SDSS_galaxy71.jpg
234.64656447337,-1.54797110197503,17.53538,15.9097,15.33333,15.0736,14.83738,0.01109704,data/sdss\SDSS_galaxy72.jpg
163.526009666693,36.9414802156157,17.93564,16.48049,15.80216,15.43377,15.1959,0.08697709,data/sdss\SDSS_galaxy73.jpg
236.583048121313,3.71308970881521,17.78595,16.42865,15.79909,15.45012,15.22179,0.042897,data/sdss\SDSS_galaxy74.jpg
200.534210689468,3.61445524397038,18.35493,16.60838,15.70894,15.27623,14.93423,0.1135106,data/sdss\SDSS_galaxy75.jpg
230.172239758334,49.1065323623223,16.58639,14.87249,14.06281,13.65475,13.33871,0.03833375,data/sdss\SDSS_galaxy76.jpg
129.676324249451,12.4042758612999,20.51434,18.88692,17.85631,17.37211,17.08288,0.1701362,data/sdss\SDSS_galaxy77.jpg
157.014906743703,10.2107010882248,19.45306,17.89945,17.19105,16.80634,16.55013,0.06593844,data/sdss\SDSS_galaxy78.jpg
247.7372973043,21.7921491393964,20.97118,20.9066,20.26221,19.91132,20.01231,0.06118788,data/sdss\SDSS_galaxy79.jpg
212.859167817874,6.43753213652336,18.95898,17.87561,17.44033,17.13494,16.98878,0.1105357,data/sdss\SDSS_galaxy80.jpg
31.5248357699932,13.2852218210048,15.96058,14.71583,14.11841,13.78524,13.48236,0.02477609,data/sdss\SDSS_galaxy81.jpg
179.130455892135,44.6009422580996,19.591,17.99087,17.16495,16.76197,16.43655,0.1142867,data/sdss\SDSS_galaxy82.jpg
202.204666337853,24.0798229051007,18.24271,16.66835,15.94852,15.57774,15.27714,0.07602675,data/sdss\SDSS_galaxy83.jpg
149.120314445652,33.8085921404731,17.95815,16.7764,16.24813,15.98155,15.77976,0.05072843,data/sdss\SDSS_galaxy84.jpg
236.336531996772,8.33448094739238,19.82484,18.24958,17.22339,16.73717,16.43871,0.1836095,data/sdss\SDSS_galaxy85.jpg
217.018799462606,47.3355984913234,19.62967,18.54964,17.90901,17.5355,17.28268,0.1323046,data/sdss\SDSS_galaxy86.jpg
203.698835589774,50.4629004069671,18.68215,17.86395,17.67468,17.41285,17.3794,0.08423424,data/sdss\SDSS_galaxy87.jpg
344.597059048295,0.267728130842163,19.45789,17.87996,16.93144,16.48697,16.17717,0.1541752,data/sdss\SDSS_galaxy88.jpg
322.650802673536,12.0405062186657,19.84229,18.25576,17.51162,17.11024,16.96316,0.1182638,data/sdss\SDSS_galaxy89.jpg
171.82617370481,17.1196703493006,19.46898,18.13844,17.46443,17.07267,16.82817,0.1347473,data/sdss\SDSS_galaxy90.jpg
207.197356559265,14.9712431123976,19.76684,18.24743,17.27999,16.80846,16.46111,0.1554172,data/sdss\SDSS_galaxy91.jpg
174.448915273608,23.650887979622,19.03642,17.57408,16.67655,16.23684,15.91462,0.1572857,data/sdss\SDSS_galaxy92.jpg
219.35034248152,34.7984596296089,19.46861,17.98089,17.08539,16.69253,16.39618,0.1851652,data/sdss\SDSS_galaxy93.jpg
180.303886585058,51.0268579045132,18.0645,16.8385,16.42987,16.16585,16.01835,0.02673383,data/sdss\SDSS_galaxy94.jpg
121.804668380058,25.6872061908915,18.44843,16.95903,16.32992,16.00272,15.79798,0.04709488,data/sdss\SDSS_galaxy95.jpg
212.300008928117,14.5646632642598,17.34632,15.74602,14.88632,14.50258,14.23163,0.05940409,data/sdss\SDSS_galaxy96.jpg
213.572868504766,-2.64822895195338,18.95004,17.61989,16.96543,16.54914,16.2919,0.1176333,data/sdss\SDSS_galaxy97.jpg
199.175103283277,31.3669639749561,17.37259,25.0676,27.49673,26.94489,25.5005,0.01917786,data/sdss\SDSS_galaxy98.jpg
168.007135775048,28.3821881121482,18.55075,17.22354,16.67603,16.39948,16.26317,0.03255328,data/sdss\SDSS_galaxy99.jpg
164.612932773065,28.5861878733,19.43852,17.92264,17.1283,16.66908,16.36026,0.1065354,data/sdss\SDSS_galaxy100.jpg
214.326463494227,8.62135117704713,17.95885,16.64017,16.02831,15.68327,15.51126,0.06515187,data/sdss\SDSS_galaxy101.jpg
197.610130340446,9.64208443323593,19.72171,18.17191,17.27641,16.86127,16.5757,0.1507796,data/sdss\SDSS_galaxy102.jpg
167.339172860264,15.3339422307415,18.9397,17.7369,17.22924,16.95082,16.75709,0.07689308,data/sdss\SDSS_galaxy103.jpg
354.123729392317,15.0164449815298,17.33365,15.84436,15.03587,14.63344,14.30736,0.05570614,data/sdss\SDSS_galaxy104.jpg
122.017214905705,29.9550535792375,17.7788,16.24976,15.59412,15.23311,14.98914,0.0797948,data/sdss\SDSS_galaxy105.jpg
160.344367255804,31.7806872687511,17.32158,15.84565,15.13568,14.74567,14.4702,0.03480254,data/sdss\SDSS_galaxy106.jpg
126.314243687625,11.0279963691896,19.10177,17.81229,17.27505,16.97513,16.76696,0.09284374,data/sdss\SDSS_galaxy107.jpg
33.3158396460737,-7.66185447792603,16.45524,14.44398,13.59212,13.15318,12.82187,0.01594187,data/sdss\SDSS_galaxy108.jpg
224.693249499426,7.67270365368834,17.78669,16.39792,15.7334,15.3449,15.09904,0.05628496,data/sdss\SDSS_galaxy109.jpg
202.412594640028,17.2855170055552,18.81577,17.59031,16.98881,16.63733,16.40439,0.08895863,data/sdss\SDSS_galaxy110.jpg
207.395219519085,45.6956363584863,19.90739,18.54922,17.71033,17.3465,17.07953,0.1656512,data/sdss\SDSS_galaxy111.jpg
